config_name,problem,objective_value,gurobi_optimal,gap_percent,feasibility_rate,max_violation,primal_violation,integrality_violation,bound_violation,runtime_seconds,iterations,tunnel_success_rate,converged
Base Pop-PDHG,knapsack_50,-2061.6714151624374,-2051.0,0.5203030308355617,0.0,0.24285737012817854,0.0,0.24285737012817854,0.0,0.8102579116821289,1000,0.0,False
+ Quantum Tunneling,knapsack_50,-2061.674743587277,-2051.0,0.5204653138604162,0.0,0.24280095614784358,0.0007866139302166175,0.24280095614784358,0.0,0.7856388092041016,1000,26.08695652173913,False
+ Progressive Measurement,knapsack_50,-2040.0,-2051.0,0.5363237445148707,100.0,0.0,0.0,0.0,0.0,0.8041291236877441,1000,0.0,False
+ HMC Dynamics,knapsack_50,-2061.6714151624374,-2051.0,0.5203030308355617,0.0,0.24285737012817887,0.0,0.24285737012817887,0.0,0.7903060913085938,1000,0.0,False
Full Quantum Pop-PDHG,knapsack_50,-2040.0,-2051.0,0.5363237445148707,100.0,0.0,0.0,0.0,0.0,0.7978470325469971,1000,55.55555555555556,False
Base Pop-PDHG,p0033,-79.94626280076879,-68.0,17.568033530542344,0.0,0.36022398523520693,1.0107104433387804e-06,0.36022398523520693,0.0,0.5867288112640381,1000,0.0,False
+ Quantum Tunneling,p0033,-79.94626744715634,-68.0,17.56804036346521,0.0,0.36022363424293047,2.0850951676365526e-06,0.36022363424293047,0.0,0.5834958553314209,1000,47.05882352941176,False
+ Progressive Measurement,p0033,-68.0,-68.0,0.0,100.0,0.0,0.0,0.0,0.0,0.6015338897705078,1000,0.0,False
+ HMC Dynamics,p0033,-79.94626280076879,-68.0,17.568033530542344,0.0,0.3602239852352068,1.0107104433387804e-06,0.3602239852352068,0.0,0.5874350070953369,1000,0.0,False
Full Quantum Pop-PDHG,p0033,-68.0,-68.0,0.0,100.0,0.0,0.0,0.0,0.0,0.6021513938903809,1000,52.94117647058824,False
Base Pop-PDHG,p0201,-238.31329440886066,-226.0,5.448360357902946,0.0,0.49740952763596125,0.01773040706149409,0.49740952763596125,0.0,2.708477020263672,1000,0.0,False
+ Quantum Tunneling,p0201,-238.31715109054565,-226.0,5.4500668542237385,0.0,0.48081016246877195,0.018952254638723076,0.48081016246877195,0.0,2.721384048461914,1000,16.0,False
+ Progressive Measurement,p0201,-221.0,-226.0,2.2123893805309733,100.0,0.0,0.0,0.0,0.0,3.384265899658203,1000,0.0,False
+ HMC Dynamics,p0201,-238.31329440886063,-226.0,5.448360357902933,0.0,0.49740952763596114,0.017730407061495868,0.49740952763596114,0.0,2.7234981060028076,1000,0.0,False
Full Quantum Pop-PDHG,p0201,-221.0,-226.0,2.2123893805309733,100.0,0.0,0.0,0.0,0.0,3.3952691555023193,1000,37.03703703703704,False
Base Pop-PDHG,p0282,-7894.391409997403,-7899.413179214345,0.06357142110449883,0.0,0.4935968290439675,0.30784693259914775,0.4935968290439675,0.0,3.818086862564087,1000,0.0,False
+ Quantum Tunneling,p0282,-7894.393539321264,-7899.413179214345,0.06354446563561558,0.0,0.49895985475768984,0.31816631195144396,0.49895985475768984,0.0,3.8389768600463867,1000,25.0,False
+ Progressive Measurement,p0282,-7886.948773644458,-7899.413179214345,0.15778900643765228,100.0,9.615768448156814e-07,9.615768448156814e-07,0.0,0.0,5.23104190826416,1000,0.0,False
+ HMC Dynamics,p0282,-7894.391409997404,-7899.413179214345,0.06357142110448731,0.0,0.4935968290439819,0.30784693259914775,0.4935968290439819,0.0,3.831031084060669,1000,0.0,False
Full Quantum Pop-PDHG,p0282,-7887.195391175249,-7899.413179214345,0.1546670336379534,100.0,9.637532585315967e-07,9.637532585315967e-07,0.0,0.0,5.258975028991699,1000,25.0,False
