instance_name,source_path,n_vars,n_cons,nnz,density,n_integer_vars,n_binary_vars,n_continuous_vars,integer_ratio,finite_bound_ratio,n_finite_lb,n_finite_ub,n_eq,n_ge,n_le,obj_sense,solu_status,reference_obj,reference_obj_raw,selection_score,passes_structural_filter,filter_reasons,copied_path
50v-10,/Users/cjx-mbp/Documents/benchmark/50v-10.mps.gz,2013,233,2745,0.005852516582130316,1647,0,366,0.8181818181818182,0.9090909090909091,2013,1647,50,0,183,min,=opt=,3311.1799841,3311.1799841,4.041625097541943,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/50v-10.mps.gz
beasleyC3,/Users/cjx-mbp/Documents/benchmark/beasleyC3.mps.gz,2500,1750,5000,0.001142857142857143,1250,1250,1250,0.5,0.75,2500,1250,500,0,1250,min,=opt=,753.9999999999128,753.9999999999128,2.7549285714285716,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/beasleyC3.mps.gz
cod105,/Users/cjx-mbp/Documents/benchmark/cod105.mps.gz,1024,1024,57344,0.0546875,1024,0,0,1.0,1.0,1024,1024,0,0,1024,min,=opt=,-12.0,-12,4.272,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/cod105.mps.gz
csched007,/Users/cjx-mbp/Documents/benchmark/csched007.mps.gz,1758,351,6379,0.010337764035147426,1457,0,301,0.8287827076222981,1.0,1758,1758,301,50,0,min,=opt=,350.9999999999955,350.9999999999955,3.958173955284593,True,,
csched008,/Users/cjx-mbp/Documents/benchmark/csched008.mps.gz,1536,351,5687,0.010548358855650522,1284,0,252,0.8359375,0.9996744791666666,1536,1535,301,50,0,min,=opt=,173.0,173,4.003367773622982,True,,
enlight_hard,/Users/cjx-mbp/Documents/benchmark/enlight_hard.mps.gz,200,100,560,0.028,200,0,0,1.0,0.75,200,100,100,0,0,min,=opt=,37.0,37,3.8269999999999995,True,,
glass4,/Users/cjx-mbp/Documents/benchmark/glass4.mps.gz,322,396,1815,0.014233954451345756,302,0,20,0.937888198757764,0.984472049689441,322,312,36,360,0,min,=opt=,1200012599.972384,1200012599.972384,4.678251788067006,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/glass4.mps.gz
gmu-35-40,/Users/cjx-mbp/Documents/benchmark/gmu-35-40.mps.gz,1205,424,4843,0.009478979096531746,1200,0,5,0.995850622406639,0.9979253112033195,1205,1200,5,8,411,min,=opt=,-2406733.3688,-2406733.3688,4.8763968429499736,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/gmu-35-40.mps.gz
gmu-35-50,/Users/cjx-mbp/Documents/benchmark/gmu-35-50.mps.gz,1919,435,8643,0.010353812150725054,1914,0,5,0.9973944762897342,0.9986972381448671,1919,1914,5,8,422,min,=opt=,-2607958.33,-2607958.33,4.779444209597911,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/gmu-35-50.mps.gz
graphdraw-domain,/Users/cjx-mbp/Documents/benchmark/graphdraw-domain.mps.gz,254,865,2600,0.011833780892995312,200,0,54,0.7874015748031497,0.9212598425196851,234,234,45,340,480,min,=opt=,19685.99997550038,19685.99997550038,4.132788952320267,True,,
ic97_potential,/Users/cjx-mbp/Documents/benchmark/ic97_potential.mps.gz,728,1046,3138,0.004120879120879121,523,0,205,0.7184065934065934,1.0,728,728,0,523,523,min,=opt=,3941.99993090225,3941.99993090225,4.198285714285714,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/ic97_potential.mps.gz
icir97_tension,/Users/cjx-mbp/Documents/benchmark/icir97_tension.mps.gz,2494,1203,22333,0.007443633631771947,835,0,1659,0.33480352846832395,1.0,2494,2494,1203,0,0,min,=opt=,6375.0,6375,2.373562447296621,True,,
lotsize,/Users/cjx-mbp/Documents/benchmark/lotsize.mps.gz,2985,1920,6565,0.0011454843662758235,1195,0,1790,0.40033500837520936,0.7001675041876047,2985,1195,600,0,1320,min,=opt=,1480195.0,1480195,2.2848872836404244,True,,
mcsched,/Users/cjx-mbp/Documents/benchmark/mcsched.mps.gz,1747,2107,8088,0.0021972713953461206,1745,0,2,0.9988551803091014,0.9988551803091014,1745,1745,202,0,1905,min,=opt=,211913.0,211913,4.902396196619114,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/mcsched.mps.gz
neos-2657525-crna,/Users/cjx-mbp/Documents/benchmark/neos-2657525-crna.mps.gz,524,342,1690,0.009430382572206597,524,0,0,1.0,1.0,524,524,254,30,58,min,=opt=,1.810748,1.810748,4.686537855452882,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/neos-2657525-crna.mps.gz
neos-3046615-murg,/Users/cjx-mbp/Documents/benchmark/neos-3046615-murg.mps.gz,274,498,1266,0.009277987863864216,256,0,18,0.9343065693430657,0.9343065693430657,272,240,240,240,18,min,=opt=,1600.0,1600,4.494742527984724,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/neos-3046615-murg.mps.gz
neos-3381206-awhea,/Users/cjx-mbp/Documents/benchmark/neos-3381206-awhea.mps.gz,2375,479,4275,0.0037578288100208767,2375,0,0,1.0,1.0,2375,2375,4,0,475,min,=opt=,453.0,453,4.839659446764092,True,,
neos-3627168-kasai,/Users/cjx-mbp/Documents/benchmark/neos-3627168-kasai.mps.gz,1462,1655,5158,0.0021317485049243473,535,0,927,0.36593707250341995,0.6819425444596443,1459,535,465,0,1190,min,=opt=,988585.6199999998,988585.6199999998,2.3324516234021186,True,,
neos-4338804-snowy,/Users/cjx-mbp/Documents/benchmark/neos-4338804-snowy.mps.gz,1344,1701,6342,0.002774103468547913,1302,0,42,0.96875,0.984375,1344,1302,0,441,1260,min,=opt=,1471.0,1471,4.862614344503234,True,,
neos-4954672-berkel,/Users/cjx-mbp/Documents/benchmark/neos-4954672-berkel.mps.gz,1533,1848,8007,0.0028263484721410357,630,0,903,0.410958904109589,0.7054794520547946,1533,630,525,0,1323,min,=opt=,2612710.0,2612710,2.4933526772477363,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/neos-4954672-berkel.mps.gz
neos-911970,/Users/cjx-mbp/Documents/benchmark/neos-911970.mps.gz,888,107,3408,0.03586764334427886,840,0,48,0.9459459459459459,0.972972972972973,888,840,35,24,48,min,=opt=,54.76,54.76,4.168060368779996,True,,
neos17,/Users/cjx-mbp/Documents/benchmark/neos17.mps.gz,535,486,4931,0.018964655205569017,300,0,235,0.5607476635514018,0.9757009345794393,535,509,1,35,450,min,=opt=,0.1500025774,0.1500025774,3.4625123312564905,True,,
p200x1188c,/Users/cjx-mbp/Documents/benchmark/p200x1188c.mps.gz,2376,1388,4752,0.001440922190201729,1188,1188,1188,0.5,1.0,2376,2376,200,0,1188,min,=opt=,15078.0,15078,3.322308357348703,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/p200x1188c.mps.gz
ran14x18-disj-8,/Users/cjx-mbp/Documents/benchmark/ran14x18-disj-8.mps.gz,504,447,10277,0.04561716558360854,252,0,252,0.5,1.0,504,504,32,415,0,min,=opt=,3712.0,3712,2.878490003906111,True,,
roll3000,/Users/cjx-mbp/Documents/benchmark/roll3000.mps.gz,1166,2295,29386,0.01098143850641076,738,0,428,0.6329331046312179,0.9991423670668954,1165,1165,174,629,1492,min,=opt=,12889.999992,12889.999992,3.7271256631106806,True,,
sp150x300d,/Users/cjx-mbp/Documents/benchmark/sp150x300d.mps.gz,600,450,1200,0.0044444444444444444,300,300,300,0.5,1.0,600,600,150,0,300,min,=opt=,69.0,69,3.4205555555555556,True,,
supportcase26,/Users/cjx-mbp/Documents/benchmark/supportcase26.mps.gz,436,870,2492,0.006569650954339344,396,396,40,0.908256880733945,0.9541284403669725,436,396,0,870,0,min,=opt=,1745.123813,1745.123813,4.665770250523494,True,,
timtab1,/Users/cjx-mbp/Documents/benchmark/timtab1.mps.gz,397,171,829,0.012211469058877251,171,0,226,0.43073047858942065,1.0,397,397,171,0,0,min,=opt=,764771.99999978,764771.99999978,2.847182930826227,True,,
tr12-30,/Users/cjx-mbp/Documents/benchmark/tr12-30.mps.gz,1080,750,2508,0.003096296296296296,360,0,720,0.3333333333333333,0.6666666666666666,1080,360,360,0,390,min,=opt=,130595.9999999999,130595.9999999999,2.156792592592592,True,,
