instance_name,source_path,n_vars,n_cons,nnz,density,n_integer_vars,n_binary_vars,n_continuous_vars,integer_ratio,finite_bound_ratio,n_finite_lb,n_finite_ub,n_eq,n_ge,n_le,obj_sense,solu_status,reference_obj,reference_obj_raw,selection_score,passes_structural_filter,filter_reasons,copied_path
neos-3046615-murg,/Users/cjx-mbp/Documents/benchmark/neos-3046615-murg.mps.gz,274,498,1266,0.009277987863864216,256,0,18,0.9343065693430657,0.9343065693430657,272,240,240,240,18,min,=opt=,1600.0,1600,4.494742527984724,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/neos-3046615-murg.mps.gz
glass4,/Users/cjx-mbp/Documents/benchmark/glass4.mps.gz,322,396,1815,0.014233954451345756,302,0,20,0.937888198757764,0.984472049689441,322,312,36,360,0,min,=opt=,1200012599.972384,1200012599.972384,4.678251788067006,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/glass4.mps.gz
neos-2657525-crna,/Users/cjx-mbp/Documents/benchmark/neos-2657525-crna.mps.gz,524,342,1690,0.009430382572206597,524,0,0,1.0,1.0,524,524,254,30,58,min,=opt=,1.810748,1.810748,4.686537855452882,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/neos-2657525-crna.mps.gz
ic97_potential,/Users/cjx-mbp/Documents/benchmark/ic97_potential.mps.gz,728,1046,3138,0.004120879120879121,523,0,205,0.7184065934065934,1.0,728,728,0,523,523,min,=opt=,3941.99993090225,3941.99993090225,4.198285714285714,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/ic97_potential.mps.gz
cod105,/Users/cjx-mbp/Documents/benchmark/cod105.mps.gz,1024,1024,57344,0.0546875,1024,0,0,1.0,1.0,1024,1024,0,0,1024,min,=opt=,-12.0,-12,4.272,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/cod105.mps.gz
gmu-35-40,/Users/cjx-mbp/Documents/benchmark/gmu-35-40.mps.gz,1205,424,4843,0.009478979096531746,1200,0,5,0.995850622406639,0.9979253112033195,1205,1200,5,8,411,min,=opt=,-2406733.3688,-2406733.3688,4.8763968429499736,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/gmu-35-40.mps.gz
neos-4954672-berkel,/Users/cjx-mbp/Documents/benchmark/neos-4954672-berkel.mps.gz,1533,1848,8007,0.0028263484721410357,630,0,903,0.410958904109589,0.7054794520547946,1533,630,525,0,1323,min,=opt=,2612710.0,2612710,2.4933526772477363,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/neos-4954672-berkel.mps.gz
mcsched,/Users/cjx-mbp/Documents/benchmark/mcsched.mps.gz,1747,2107,8088,0.0021972713953461206,1745,0,2,0.9988551803091014,0.9988551803091014,1745,1745,202,0,1905,min,=opt=,211913.0,211913,4.902396196619114,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/mcsched.mps.gz
gmu-35-50,/Users/cjx-mbp/Documents/benchmark/gmu-35-50.mps.gz,1919,435,8643,0.010353812150725054,1914,0,5,0.9973944762897342,0.9986972381448671,1919,1914,5,8,422,min,=opt=,-2607958.33,-2607958.33,4.779444209597911,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/gmu-35-50.mps.gz
50v-10,/Users/cjx-mbp/Documents/benchmark/50v-10.mps.gz,2013,233,2745,0.005852516582130316,1647,0,366,0.8181818181818182,0.9090909090909091,2013,1647,50,0,183,min,=opt=,3311.1799841,3311.1799841,4.041625097541943,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/50v-10.mps.gz
p200x1188c,/Users/cjx-mbp/Documents/benchmark/p200x1188c.mps.gz,2376,1388,4752,0.001440922190201729,1188,1188,1188,0.5,1.0,2376,2376,200,0,1188,min,=opt=,15078.0,15078,3.322308357348703,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/p200x1188c.mps.gz
beasleyC3,/Users/cjx-mbp/Documents/benchmark/beasleyC3.mps.gz,2500,1750,5000,0.001142857142857143,1250,1250,1250,0.5,0.75,2500,1250,500,0,1250,min,=opt=,753.9999999999128,753.9999999999128,2.7549285714285716,True,,/Users/cjx-mbp/Documents/我的坚果云/科研/论文/2026_Quantum_Solver/Plan 1/data/miplib2017_sec/instances/beasleyC3.mps.gz
